ord_dt,sale_amt,offer_amt,offer_cnt,shop_id_x,rtn_cnt,rtn_amt,ord_cnt,pid,user_cnt,on_dt,off_dt,brand,cate,shop_id_y
2017-03-04,64.42,0.0,0,1338,0,0.0,1,9490,1,,,,,
2016-11-11,81.77,0.0,0,1338,0,0.0,1,9526,1,,,,,
2016-11-11,80.12,0.0,0,1338,0,0.0,1,9531,1,,,,,
2016-10-29,37.99,0.0,0,1338,0,0.0,1,10278,1,,,,,
2016-11-14,31.39,2229.35,1,1338,0,0.0,1,10278,1,,,,,
2016-12-18,31.39,5872.09,1,1338,0,0.0,1,10278,1,,,,,
2016-11-17,94.16,6688.05,3,1338,0,0.0,3,10283,3,,,,,
2016-12-05,31.39,3664.45,1,1338,0,0.0,1,10283,1,,,,,
2016-12-20,94.16,17617.01,2,1338,0,0.0,2,10283,2,,,,,
2016-11-08,31.39,2229.35,1,1338,0,0.0,1,10283,1,,,,,
2016-12-04,31.39,3664.45,1,1338,0,0.0,1,10283,1,,,,,
2016-11-11,31.39,2229.35,1,1338,0,0.0,1,10283,1,,,,,
2016-11-24,31.39,2262.46,1,1338,0,0.0,1,10283,1,,,,,
2016-11-21,31.39,2229.35,1,1338,0,0.0,1,10283,1,,,,,
2016-12-01,31.39,2262.46,1,1338,0,0.0,1,10283,1,,,,,
2016-11-22,31.39,2229.35,1,1338,1,13.98,1,10283,1,,,,,
2016-12-15,62.77,10272.67,1,1338,0,0.0,1,10283,1,,,,,
2016-11-15,31.39,2229.35,1,1338,0,0.0,1,10287,1,,,,,
2016-11-16,94.16,6688.05,3,1338,0,0.0,3,10287,3,,,,,
2016-10-24,37.99,0.0,0,1338,0,0.0,1,10287,1,,,,,
2016-12-13,31.39,5136.33,1,1338,0,0.0,1,10287,1,,,,,
2016-11-28,31.39,2262.46,1,1338,0,0.0,1,10287,1,,,,,
2016-12-31,64.42,0.0,0,1338,0,0.0,1,25617,1,,,,,
2016-10-27,79.29,0.0,0,1338,0,0.0,1,25617,1,,,,,
2017-01-15,64.42,0.0,0,1338,0,0.0,1,25622,1,,,,,
2016-08-22,31.39,0.0,0,1338,0,0.0,1,33321,1,,,,,
2016-08-24,31.39,0.0,0,1338,0,0.0,1,33321,1,,,,,
2016-09-04,62.77,0.0,0,1338,0,0.0,2,33321,2,,,,,
2017-03-06,31.39,0.0,0,1338,0,0.0,1,33321,1,,,,,
2016-09-15,31.39,0.0,0,1338,0,0.0,1,33321,1,,,,,
2016-11-16,31.39,0.0,0,1338,0,0.0,1,33321,1,,,,,
2016-08-06,31.39,0.0,0,1338,0,0.0,1,33321,1,,,,,
2016-11-03,31.39,0.0,0,1338,0,0.0,1,33321,1,,,,,
2016-08-05,31.39,0.0,0,1338,0,0.0,1,33321,1,,,,,
2016-08-15,62.77,0.0,0,1338,0,0.0,2,33321,2,,,,,
2016-10-19,31.39,0.0,0,1338,0,0.0,1,33321,1,,,,,
2016-09-17,31.39,0.0,0,1338,0,0.0,1,33332,1,,,,,
2016-10-09,56.16,0.0,0,1338,0,0.0,1,33346,1,,,,,
2016-12-16,39.65,0.0,0,1338,0,0.0,1,40510,1,,,,,
2017-04-16,33.86,0.0,0,1338,0,0.0,1,43927,1,,,,,
2016-11-27,71.03,0.0,0,1338,0,0.0,1,79523,1,,,,,
2016-12-27,74.34,0.0,0,1338,0,0.0,1,82234,1,,,,,
2017-01-07,72.68,0.0,0,1338,0,0.0,1,90815,1,,,,,
2017-01-14,72.68,0.0,0,1338,0,0.0,1,94002,1,,,,,
2016-10-23,72.68,0.0,0,1338,0,0.0,1,94002,1,,,,,
2016-10-01,45.43,0.0,0,1338,0,0.0,1,479400,1,,,,,
2016-08-05,23.13,0.0,0,1338,0,0.0,1,2373998,1,,,,,
2017-02-03,23.13,0.0,0,1338,0,0.0,1,2375111,1,2016-07-06,,2779.0,262.0,1338.0
2016-09-20,106.55,0.0,0,1338,0,0.0,1,2673366,1,2016-07-19,,2779.0,257.0,1338.0
2016-09-12,70.21,0.0,0,1338,0,0.0,1,2700693,1,2016-07-20,,2779.0,257.0,1338.0
2017-03-12,40.47,0.0,0,1338,0,0.0,1,3229228,1,2016-08-07,,2779.0,35.0,1338.0
2016-12-03,119.76,0.0,0,1338,0,0.0,1,5039013,1,2016-09-26,,2779.0,257.0,1338.0
2016-11-29,218.05,0.0,0,1338,0,0.0,3,6903233,3,,,,,
2016-11-27,145.37,0.0,0,1338,0,0.0,2,6903233,2,,,,,
2016-11-28,145.37,0.0,0,1338,0,0.0,2,6903233,2,,,,,
2016-12-05,72.68,3646.05,1,1338,0,0.0,1,6903233,1,,,,,
2017-01-05,64.42,3650.1,1,1338,0,0.0,1,6903556,1,2016-11-25,,2779.0,131.0,1338.0
2017-01-31,64.42,0.0,0,1338,1,28.69,1,7296846,1,2016-12-11,,2779.0,252.0,1338.0
2016-12-31,64.42,0.0,0,1338,0,0.0,1,7385358,1,2016-12-15,,2779.0,252.0,1338.0
2017-01-15,64.42,0.0,0,1338,0,0.0,1,7436530,1,2016-12-18,,2779.0,252.0,1338.0
2017-01-30,64.42,0.0,0,1338,0,0.0,1,7485733,1,2016-12-20,,2779.0,252.0,1338.0
2017-02-13,64.42,0.0,0,1338,0,0.0,1,7625494,1,,,,,
2017-01-20,64.42,0.0,0,1338,0,0.0,1,7658477,1,2016-12-28,,2779.0,252.0,1338.0
2017-03-05,37.99,8.09,1,1338,0,0.0,1,8273956,1,2017-02-13,,2779.0,263.0,1338.0
2017-04-08,16.52,17.66,1,1338,0,0.0,1,8851248,1,2017-02-24,,2779.0,263.0,1338.0
2017-04-04,33.04,35.32,2,1338,0,0.0,2,8851248,2,2017-02-24,,2779.0,263.0,1338.0
2017-03-12,16.52,17.66,1,1338,0,0.0,1,8851248,1,2017-02-24,,2779.0,263.0,1338.0
2017-03-11,16.52,17.66,1,1338,0,0.0,1,8851248,1,2017-02-24,,2779.0,263.0,1338.0
2017-03-30,33.04,35.32,2,1338,0,0.0,2,8851248,2,2017-02-24,,2779.0,263.0,1338.0
2017-04-22,33.04,35.32,2,1338,0,0.0,2,8851248,2,2017-02-24,,2779.0,263.0,1338.0
2017-03-13,16.52,17.66,1,1338,0,0.0,1,8851248,1,2017-02-24,,2779.0,263.0,1338.0
2017-04-13,16.52,17.66,1,1338,0,0.0,1,8851248,1,2017-02-24,,2779.0,263.0,1338.0
