dt,shop_id,sale_amt_3m
2016-12-31,2143,72983.09
2016-07-31,2143,106943.03
2016-08-31,2143,183723.36
2016-09-30,2143,235568.57
2016-11-30,2143,80115.29
2016-12-31,1559,67228.29
2016-08-31,1559,267183.3
2017-01-31,1559,83264.96
2016-10-31,1559,123020.74
2016-12-31,1296,24583.73
2016-09-30,1296,65153.83
2016-06-30,2857,16373.74
2016-12-31,2857,11017.83
2016-07-31,2857,14649.14
2016-08-31,2857,17139.07
2017-01-31,2857,11782.66
2016-09-30,2857,18178.94
2016-11-30,2857,12081.33
2016-10-31,2857,17133.62
2016-12-31,1490,46449.74
2016-09-30,1490,537677.77
2016-10-31,1490,247228.47
2016-06-30,1422,179236.51
2016-12-31,1422,192950.61
2017-01-31,1422,209642.67
2016-09-30,1422,324948.5
2016-11-30,1422,192857.78
2016-06-30,1466,33714.67
2016-12-31,1466,25256.88
2016-11-30,1466,22745.98
2016-10-31,1466,24701.84
2016-07-31,2656,16475.16
2016-08-31,2656,15387.46
2017-01-31,2656,70612.56
2016-10-31,2656,26298.91
2016-06-30,1396,121990.41
2016-07-31,1396,105047.46
2016-08-31,1396,122380.17
2017-01-31,1396,116237.17
2016-10-31,1396,106003.37
2016-07-31,2036,74497.63
2016-08-31,2036,84588.91
2017-01-31,2036,42789.85
2016-09-30,2036,73571.56
2016-06-30,45,148377.07
2016-12-31,45,113791.02
2016-11-30,45,119025.93
2016-06-30,1970,106513.2
2016-12-31,1970,82198.24
2016-08-31,1970,166630.44
2017-01-31,1970,83884.01
2016-11-30,1970,114894.5
2016-10-31,1970,155624.0
2016-06-30,2570,12546.27
2016-08-31,2570,13216.66
2017-01-31,2570,10801.68
2016-11-30,2570,11082.1
2016-10-31,2570,13144.36
2016-12-31,1720,161456.57
2016-07-31,1720,224016.73
2017-01-31,1720,77691.41
2016-09-30,1720,309380.67
2016-12-31,798,259474.66
2016-07-31,798,409404.4
2016-08-31,798,477394.06
2016-11-30,798,317282.44
2016-10-31,798,480082.34
2016-06-30,1413,104230.85
2016-12-31,1413,158099.89
2016-08-31,1413,180037.92
2017-01-31,1413,136398.91
2016-11-30,1413,161165.96
2016-12-31,500,17219.68
2016-08-31,500,67851.09
2016-11-30,500,24859.1
2016-10-31,500,36811.09
2016-07-31,2388,22011.71
2016-09-30,2388,29602.32
2016-10-31,2388,21611.2
2016-06-30,3,100554.27
2016-12-31,3,150484.42
2016-09-30,3,272725.95
2016-06-30,2943,117501.71
2016-08-31,2943,124779.95
2017-01-31,2943,21386.46
2016-09-30,2943,111927.09
2016-11-30,2943,56120.68
2016-10-31,2943,91849.61
2016-06-30,1505,420012.06
2016-09-30,1505,419463.85
2016-10-31,1505,358770.47
2016-12-31,840,124282.23
2017-01-31,840,155039.85
2016-09-30,840,190276.31
2016-11-30,840,132537.45
2016-10-31,840,161560.66
2017-01-31,1406,80760.21
2016-09-30,1406,265099.02
2016-11-30,1406,99281.8
2016-06-30,2229,135218.53
2016-12-31,2229,204917.01
2016-08-31,2229,264722.94
2017-01-31,2229,333710.69
2016-09-30,2229,236995.79
2016-11-30,2229,133125.81
2016-10-31,2229,191226.31
2016-06-30,2547,197604.77
2016-12-31,2547,248595.18
2016-07-31,2547,272214.13
2016-08-31,2547,337422.31
2017-01-31,2547,266112.03
2016-09-30,2547,310961.4
2016-11-30,2547,239540.89
2016-10-31,2547,308102.61
2016-06-30,2636,190354.6
2017-01-31,2636,128425.3
2016-09-30,2636,330069.88
2016-11-30,2636,200918.56
2016-06-30,1307,18027.06
2016-12-31,1307,33263.76
2016-11-30,1307,25709.93
2016-10-31,1307,21866.31
2016-06-30,341,261728.66
2016-12-31,341,108374.94
2016-07-31,341,188805.79
2016-08-31,341,149154.74
2016-11-30,341,110462.44
2016-12-31,1498,236222.37
2016-08-31,1498,204246.75
2016-09-30,1498,224962.37
2016-11-30,1498,207456.33
2016-06-30,1632,84123.56
2016-12-31,1632,145715.85
2016-08-31,1632,183441.04
2017-01-31,1632,122186.86
2016-09-30,1632,315859.15
2016-11-30,1632,291226.19
2016-06-30,2038,38373.22
2016-12-31,2038,56412.41
2016-07-31,2038,30407.21
2016-08-31,2038,33819.48
2017-01-31,2038,28050.43
2016-09-30,2038,50382.19
2016-11-30,2038,74534.69
2016-12-31,2597,16524.72
2016-07-31,2597,202746.98
2017-01-31,2597,12145.51
2016-12-31,1219,218878.54
2017-01-31,1219,253438.98
2016-09-30,1219,49945.91
2016-11-30,1219,15183.62
2016-10-31,1219,10205.5
2017-01-31,1014,158576.79
2016-09-30,1014,169638.81
2016-11-30,1014,145349.12
2016-12-31,409,35878.17
2016-07-31,409,34674.59
2016-08-31,409,57490.94
2016-11-30,409,46646.65
2016-10-31,409,67181.71
2016-06-30,2321,249504.55
2016-12-31,2321,170341.41
